votes,fetch_url,title,longtext,answers,link,date,id,tags,
0,http://stackoverflow.com/search?sort=newest&page=3&pagesize=50&q=[openstack]Cinder,Q: Puppet Resource Ordering not working,"I have a large manifest that sets up an OpenStack Controller node that also has HAProxy, Galera and RabbitMQ co-located on the same host. I am running into problems because the HAProxy service  always seems to be the last thing to start. This creates a problem as I am suppose to connect to the Galera DB cluster through the HAProxies VIP. So all the attempts by the various OpenStack services ",1,http://stackoverflow.com/questions/40316293/puppet-resource-ordering-not-working,1/12/2017 19:57,242af36b5b43854915c3de0453e113b0,"[u'puppet', u'openstack', u'puppet-enterprise']",Cinder
1,http://stackoverflow.com/search?sort=newest&page=3&pagesize=50&q=[openstack]Cinder,Q: OpenStack With Manila Installation Fails from Devstack,Trying to install OpenStack Kilo version with Manila Features enabled . However the installation fails with errors. Environment : Operating System : RHEl 7 enabled with RHN Devstack GIT used  : git clone -b stable/kilo https://github.com/openstack-dev/devstack.git Information of localrc used : ***************************** localrc **************************************** # Credentials ,1,http://stackoverflow.com/questions/31160977/openstack-with-manila-installation-fails-from-devstack,1/12/2017 19:57,ecd5d0719e0acf92f31e21c87fbdde14,"[u'installation', u'openstack', u'devstack']",Cinder
0,http://stackoverflow.com/search?sort=newest&page=3&pagesize=50&q=[openstack]Cinder,A: jclouds with OpenStack => java.util.NoSuchElementException: apiType compute not found in cat…,> <version>${jclouds.version}</version> </dependency> <dependency> <groupId>org.apache.jclouds.api</groupId> <artifactId>openstack-cinder</artifactId> <version  You're missing the proper dependencies to run this. It's easiest to use Maven to get them. The bare minimum you need for the example above is the openstack-nova dependency. To get it make a file ,1,http://stackoverflow.com/questions/21171261/jclouds-with-openstack-java-util-nosuchelementexception-apitype-compute-not/21176852#21176852,1/12/2017 19:57,b955a0c030dcf83897d138c842af0072,[],Cinder
2,http://stackoverflow.com/search?sort=newest&page=3&pagesize=50&q=[openstack]Cinder,Q: Create an instance from volume in openstach with python-novaclient,"I am trying to create an instance from a bootable volume in openstack using python-novaclient. The steps I am taking are following: Step1: create a volume with an Image ""Centos"" with 100GB. Step2  ' network_zone = ""Public"" key_name = 'key_pair' user = 'user' pswd = getpass.getpass('Password: ') # create a connection cinder = client.Client('1', user, pswd, project_name, keystone_link ",1,http://stackoverflow.com/questions/27048292/create-an-instance-from-volume-in-openstach-with-python-novaclient,1/12/2017 19:57,5430ad88204b92f03eb5bcbd0be11fa7,"[u'python', u'openstack', u'novaclient', u'openstack-cinder']",Cinder
1,http://stackoverflow.com/search?sort=newest&page=3&pagesize=50&q=[openstack]Cinder,Q: Devstack: There was an error submitting the form. Please try again. (when launching instance),"instance from admin user(from demo user works well). Also I can make volume without errors. I am working in ubuntu 14.04. I think that the problem is in cinder, because of this error in log  : Cinder ERROR cinder.api.middleware.fault [req-6eb7575e-aaf5-4884-ac3d-bfefb31f833d 28ad1bada6134e23b2b7ade80c745771 54b3a044c5824f269938c8d3c3d5e6b0] Caught error: Entity '(<)class ",1,http://stackoverflow.com/questions/31105705/devstack-there-was-an-error-submitting-the-form-please-try-again-when-launch,1/12/2017 19:57,037c08accb1cf7dc4dab038195f59116,"[u'ubuntu', u'cloud', u'openstack', u'devstack', u'openstack-cinder']",Cinder
-2,http://stackoverflow.com/search?sort=newest&page=3&pagesize=50&q=[openstack]Cinder,Q: How to detect a hung linux service?,"are mostly openstack-nova-compute and openstack-cinder-volume. The cinder volume service I can detect with the rabbitMQ starting to build up but the same thing doesn't happen for nova-compute  . This is very hard to test because like I said the only way I know is if I try to do something on that node in OpenStack and it fails or gets hung, and then I restart the service. ",1,http://stackoverflow.com/questions/32654810/how-to-detect-a-hung-linux-service,1/12/2017 19:57,11a1a4f7af7d91cc2cb4c6f7778aaefc,"[u'linux', u'centos', u'openstack', u'centos6', u'openstack-nova']",Cinder
0,http://stackoverflow.com/search?sort=newest&page=3&pagesize=50&q=[openstack]Cinder,Q: “No valid host was found” when spawning Hadoop cluster in OpenStack Sahara,-dashboard: 404 == neutron services == neutron-server: active (disabled on boot) == Cinder services == openstack-cinder-api: active  openstack-cinder-scheduler: active openstack-cinder-volume: inactive (disabled on boot) == Sahara services == openstack,1,http://stackoverflow.com/questions/37995117/no-valid-host-was-found-when-spawning-hadoop-cluster-in-openstack-sahara,1/12/2017 19:57,bd9942c3badb790de57e9d733a34fd35,"[u'hadoop', u'openstack', u'openstack-nova', u'openstack-neutron']",Cinder
1,http://stackoverflow.com/search?sort=newest&page=3&pagesize=50&q=[openstack]Cinder,Q: JClouds and OpenStack : IllegalStateException: Expected BEGIN_ARRAY but was STRING,"I'm trying to access OpenStack Swift using Apache JClouds 1.9.2 library. Maven dependency : <dependency> <groupId>org.apache.jclouds</groupId> <artifactId>jclouds-all</artifactId  from what JClouds is expecting but I don't know whether this is true or how to solve it. Also, I see in my OpenStack Dashboard that although Object Store is http://xx.xx.xx.107:80/swift/v1 Identity ",1,http://stackoverflow.com/questions/35439056/jclouds-and-openstack-illegalstateexception-expected-begin-array-but-was-stri,1/12/2017 19:57,f415a59d982b64a24025a7d2aacd1e1c,"[u'java', u'openstack', u'jclouds', u'ceph']",Cinder
0,http://stackoverflow.com/search?sort=newest&page=3&pagesize=50&q=[openstack]Cinder,Q: adding node into MAAS controller through internet,"I want to do a maas openstack with working nodes with neutron,cinder, nova etc. Basically, I setted up a MAAS controller server on a machine. Right now i want to add some nodes(different virtual ",1,http://stackoverflow.com/questions/30278146/adding-node-into-maas-controller-through-internet,1/12/2017 19:57,4c2585be0209cc6bf00e7abd0a7aed06,"[u'networking', u'cloud', u'ubuntu-14.04', u'openstack', u'juju']",Cinder
0,http://stackoverflow.com/search?sort=newest&page=3&pagesize=50&q=[openstack]Cinder,A: Aims of Cinder and Swift in Openstack,You do not need Swift with Nova. You can use Ceph for images and block storage with Glance and Cinder. See the following for directions: http://ceph.com/docs/master/rbd/rbd-openstack/ . Using Ceph with Nova is the easiest way to do storage. ,1,http://stackoverflow.com/questions/29437331/aims-of-cinder-and-swift-in-openstack/29452919#29452919,1/12/2017 19:57,d6953cdbb04cf24336de5ca1a2c228b7,[],Cinder
